"way_id","srt_pnt_lat","srt_pnt_lon","end_pnt_lat","end_pnt_lat"
"10567783","31.0192691","121.4313413","31.0289643","121.4272715"
"164024490","31.0195364","121.4465922","31.0202490","121.4464265"
"10567782","31.0178213","121.4321246","31.0192691","121.4313413"
"10567791","31.0382483","121.4450077","31.0278438","121.4125764"
"10567790","31.0302845","121.4268186","31.0320495","121.4260207"
"68523383","31.0210225","121.4319005","31.0144469","121.4349567"
"98150996","31.0312100","121.4262210","31.0338865","121.4250169"
"98150999","31.0338109","121.4248057","31.0311532","121.4260231"
"98151004","31.0318629","121.4254586","31.0326547","121.4256615"
"67476739","31.0318629","121.4254586","31.0301002","121.4262790"
"98151003","31.0288915","121.4270616","31.0208584","121.4305893"
"130799671","31.0228597","121.4375353","31.0227146","121.4370900"
"130799684","31.0348804","121.4423257","31.0345476","121.4424760"
"130799685","31.0274271","121.4456405","31.0271407","121.4457699"
"130799700","31.0315466","121.4405010","31.0302369","121.4413546"
"130799702","31.0289402","121.4370274","31.0289402","121.4370274"
"130799704","31.0280202","121.4426327","31.0279099","121.4425200"
"130799705","31.0248662","121.4203055","31.0251256","121.4241766"
"130799708","31.0328990","121.4399218","31.0322161","121.4417586"
"130799718","31.0313796","121.4273958","31.0326339","121.4278448"
"130799724","31.0295642","121.4349582","31.0293875","121.4368982"
"130799727","31.0192444","121.4370229","31.0187126","121.4381637"
"130799728","31.0315253","121.4273304","31.0305140","121.4280530"
"130799732","31.0356458","121.4288352","31.0356458","121.4288352"
"130799736","31.0281237","121.4190802","31.0291481","121.4208752"
"130799737","31.0324130","121.4299176","31.0325996","121.4287390"
"130799738","31.0293065","121.4198562","31.0286357","121.4191319"
"130799741","31.0280104","121.4218412","31.0282179","121.4217584"
"130799747","31.0254946","121.4323454","31.0254484","121.4321926"
"130799748","31.0355291","121.4299649","31.0352189","121.4288750"
"130799752","31.0251306","121.4363215","31.0250209","121.4360594"
"130799753","31.0350223","121.4284528","31.0351534","121.4288965"
"130799758","31.0232861","121.4209898","31.0231209","121.4210613"
"130799759","31.0293914","121.4350371","31.0295516","121.4355148"
"130799760","31.0306624","121.4411615","31.0310222","121.4415538"
"130799761","31.0265844","121.4340533","31.0268467","121.4339403"
"130799764","31.0194080","121.4369475","31.0197034","121.4378258"
"130799765","31.0250202","121.4275768","31.0252142","121.4282738"
"130799766","31.0286630","121.4316534","31.0284780","121.4317337"
"130799768","31.0268879","121.4328788","31.0271392","121.4327698"
"130799769","31.0288605","121.4329451","31.0290408","121.4328709"
"130799772","31.0248474","121.4265596","31.0250557","121.4264672"
"130799775","31.0324204","121.4450007","31.0320968","121.4449345"
"130799778","31.0260142","121.4298556","31.0261876","121.4297759"
"130799781","31.0254369","121.4349069","31.0256182","121.4348250"
"130799782","31.0260793","121.4215916","31.0253769","121.4219057"
"130799783","31.0285916","121.4373577","31.0283462","121.4373322"
"130799784","31.0276063","121.4205792","31.0278056","121.4204905"
"130799786","31.0313253","121.4414443","31.0315067","121.4417564"
"130799788","31.0300958","121.4282953","31.0302334","121.4282335"
"130799791","31.0314478","121.4330458","31.0315351","121.4333209"
"130799795","31.0325909","121.4399302","31.0329600","121.4401131"
"130799740","31.0287871","121.4306973","31.0285925","121.4300035"
"130799754","31.0295480","121.4293902","31.0292628","121.4295228"
"130799743","31.0281760","121.4424150","31.0284928","121.4423785"
"130799770","31.0282877","121.4415344","31.0281209","121.4421332"
"130799734","31.0310729","121.4391180","31.0322960","121.4374902"
"130799742","31.0329215","121.4427220","31.0324976","121.4413518"
"130799706","31.0315786","121.4334562","31.0278820","121.4352556"
"130799756","31.0256582","121.4300135","31.0259598","121.4310556"
"130799750","31.0259019","121.4244295","31.0268528","121.4239805"
"130799723","31.0254015","121.4274140","31.0290976","121.4257242"
"130799713","31.0250557","121.4264672","31.0273547","121.4276314"
"130799777","31.0300764","121.4232899","31.0298912","121.4226503"
"130799793","31.0295189","121.4244970","31.0297762","121.4253123"
"130799746","31.0330518","121.4238148","31.0316169","121.4244004"
"130799693","31.0181382","121.4397674","31.0199634","121.4494490"
"130799725","31.0472569","121.4229186","31.0337218","121.4258656"
"130799796","31.0315686","121.4304965","31.0317452","121.4310715"
"130799701","31.0300714","121.4427271","31.0300714","121.4427271"
"130799798","31.0293696","121.4241783","31.0290523","121.4243192"
"130799801","31.0322641","121.4307683","31.0320955","121.4302858"
"130799802","31.0302334","121.4282335","31.0305211","121.4281042"
"130799730","31.0256612","121.4239253","31.0204060","121.4253169"
"130799803","31.0285972","121.4369339","31.0288640","121.4368098"
"130799806","31.0310622","121.4380158","31.0312677","121.4386622"
"130799808","31.0297930","121.4410850","31.0295933","121.4412198"
"130799898","31.0259049","121.4364318","31.0268340","121.4369729"
"130799815","31.0263162","121.4204618","31.0263818","121.4206672"
"130799817","31.0252418","121.4340889","31.0253616","121.4340411"
"130799821","31.0316005","121.4399574","31.0314142","121.4404345"
"130799822","31.0330950","121.4371482","31.0333021","121.4370587"
"130799824","31.0305209","121.4296142","31.0303743","121.4296831"
"130799825","31.0274192","121.4345004","31.0276548","121.4343969"
"130799827","31.0294000","121.4340070","31.0294956","121.4342959"
"130799828","31.0350841","121.4289222","31.0353695","121.4300207"
"130799829","31.0274506","121.4220876","31.0276892","121.4228552"
"130799830","31.0252176","121.4274907","31.0254015","121.4274140"
"130799831","31.0307001","121.4295300","31.0305209","121.4296142"
"130799833","31.0278820","121.4352556","31.0276522","121.4353575"
"130799835","31.0323744","121.4299333","31.0323031","121.4296834"
"130799810","31.0346215","121.4273064","31.0350223","121.4284528"
"130799840","31.0303020","121.4426264","31.0300714","121.4427271"
"130799843","31.0337465","121.4368668","31.0339575","121.4375656"
"130799844","31.0237864","121.4369791","31.0236912","121.4366918"
"130799845","31.0316877","121.4419870","31.0315067","121.4417564"
"130799846","31.0299332","121.4361388","31.0300735","121.4360792"
"130799819","31.0218493","121.4304128","31.0242460","121.4294016"
"130799852","31.0306207","121.4338934","31.0308747","121.4346959"
"130799856","31.0278534","121.4346383","31.0279724","121.4349989"
"130799859","31.0296746","121.4369464","31.0296430","121.4368413"
"130799864","31.0267536","121.4345282","31.0268340","121.4347574"
"130799865","31.0267504","121.4316423","31.0265919","121.4317107"
"130799867","31.0314090","121.4298490","31.0316297","121.4304743"
"130799870","31.0255554","121.4376154","31.0256579","121.4375723"
"130799872","31.0290523","121.4243192","31.0288196","121.4244225"
"130799880","31.0294956","121.4342959","31.0297930","121.4410850"
"130799885","31.0315051","121.4311816","31.0322536","121.4308383"
"130799889","31.0364754","121.4253819","31.0352067","121.4255031"
"130799891","31.0264698","121.4336857","31.0267349","121.4345359"
"130799896","31.0270534","121.4440446","31.0267086","121.4441097"
"130799902","31.0248668","121.4305046","31.0254038","121.4322005"
"130799903","31.0317108","121.4317950","31.0313030","121.4305932"
"130799904","31.0264047","121.4259485","31.0273595","121.4255280"
